Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965
St. Martin (French part)	MAF	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Morocco	MAR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	50.98	50.537	49.971	49.282	48.487	47.601
Monaco	MCO	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Moldova	MDA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	27.697	26.863	25.91	24.869	23.784	22.725
Madagascar	MDG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	48.704	48.594	48.485	48.383	48.292	48.217
Maldives	MDV	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	54.695	54.92	54.925	54.749	54.428	53.984
Middle East & North Africa	MEA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.28245771	46.93172629	46.60723831	46.27761767	45.95148071	45.59097231
Mexico	MEX	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.529	45.141	44.777	44.45	44.167	43.96
Marshall Islands	MHL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Middle income	MIC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	34.34256479	33.36615556	39.08481727	40.79191683	39.1859907	38.49380875
"Macedonia, FYR"	MKD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	29.665	29.113	28.664	28.304	28.007	27.722
Mali	MLI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	50.189	50.132	50.103	50.099	50.113	50.143
Malta	MLT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.2	23.6	23.2	20.7	19.9	17.7
Myanmar	MMR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	43.293	42.818	42.374	41.959	41.571	41.205
Middle East & North Africa (excluding high income)	MNA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	47.78820423	47.45910968	47.12389586	46.77771279	46.41789157	46.03643251
Montenegro	MNE	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	29.553	28.91	28.152	27.286	26.34	25.36
Mongolia	MNG	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	45.987	46.783	47.307	47.503	47.367	46.948
Northern Mariana Islands	MNP	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
Mozambique	MOZ	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.898	49.612	49.324	49.049	48.799	48.591
Mauritania	MRT	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	49.35	49.048	48.707	48.346	47.983	47.632
Mauritius	MUS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.208	39.7	38.8	40.4	38.9	36
Malawi	MWI	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	51.8	52.113	52.424	52.726	53.009	53.259
Malaysia	MYS	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.694	42.322	41.744	40.946	39.951	38.817
North America	NAC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.97152386	23.54426229	22.65481149	21.96414032	21.31043823	19.57472673
Namibia	NAM	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	42.446	42.36	42.285	42.226	42.191	42.205
New Caledonia	NCL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	34	33.2	32.4	33.1	33.8	34.5
Niger	NER	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	58.122	58.195	58.228	58.215	58.153	58.039
Nigeria	NGA	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	46.336	46.288	46.215	46.124	46.025	45.941
Nicaragua	NIC	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	51.459	50.333	49.26	48.306	47.517	46.926
Netherlands	NLD	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	20.8	21.3	20.9	20.9	20.7	19.9
Norway	NOR	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	17.3	17.3	17.1	17.3	17.7	17.8
Nepal	NPL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	44.942	44.593	44.275	43.992	43.746	43.535
Nauru	NRU	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN						
New Zealand	NZL	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	26.5	27.1	26.2	25.5	24.2	22.9
OECD members	OED	"Birth rate, crude (per 1,000 people)"	SP.DYN.CBRT.IN	23.00790696	22.85017851	22.52650107	22.39843616	22.28666294	21.63507738
